Sequence Name	Sequence Description	GO Accession	GO Names	GO Domains	Enzyme Codes	InterPro IDs	InterPro GO Acession	InterPro GO Names
FVEG_07678	anter-specific proline-rich protein apg	"GO:0006629,  GO:0016788"	"lipid metabolic process,  hydrolase activity, acting on ester bonds"	"P,  F"		"IPR013831 (G3DSA:3.40.50.GENE3D), IPR001087 (PFAM), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SignalP-noTM (SIGNALP_EUK), SignalP-noTM (SIGNALP_GRAM_NEGATIVE), SignalP-TM (SIGNALP_GRAM_POSITIVE),  SSF52266 (SUPERFAMILY)"	"F:GO:0016787, P:GO:0006629,  F:GO:0016788"	"F:hydrolase activity, P:lipid metabolic process, F:hydrolase activity, acting on ester bonds"
FVEG_07683	hypothetical protein FVEG_07683					"PF13489 (PFAM), IPR029063 (G3DSA:3.40.50.GENE3D), PTHR10108:SF695 (PANTHER), PTHR10108 (PANTHER),  IPR029063 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_07684	nad dependent epimerase dehydratase family protein	"GO:0044237, GO:0050662,  GO:0003824"	"cellular metabolic process, coenzyme binding,  catalytic activity"	"P, F,  F"		"IPR016040 (G3DSA:3.40.50.GENE3D), IPR001509 (PFAM), PTHR10366 (PANTHER), PTHR10366:SF89 (PANTHER),  SSF51735 (SUPERFAMILY)"	"P:GO:0044237, F:GO:0003824,  F:GO:0050662"	"P:cellular metabolic process, F:catalytic activity, F:coenzyme binding"
FVEG_07707	hypothetical protein FVEG_07707					no IPS match	no IPS match	no IPS match
FVEG_07717	cytosine deaminase					"G3DSA:3.20.20.140 (GENE3D), PTHR32027 (PANTHER), PTHR32027:SF0 (PANTHER),  SSF51556 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_07722	glycosyl hydrolase	GO:0016787	hydrolase activity	F		"IPR011040 (G3DSA:2.120.10.GENE3D), PF13088 (PFAM),  IPR011040 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_07725	dihydrodipicolinate synthase	"GO:0016829,  GO:0008152"	"lyase activity,  metabolic process"	"F,  P"		"IPR002220 (PRINTS), IPR002220 (PIRSF), IPR013785 (G3DSA:3.20.20.GENE3D), IPR002220 (PFAM), PTHR12128:SF15 (PANTHER), IPR002220 (PANTHER),  SSF51569 (SUPERFAMILY)"	"P:GO:0008152, F:GO:0016829,  F:GO:0003824"	"P:metabolic process, F:lyase activity, F:catalytic activity"
FVEG_07734	ribokinase					"IPR029056 (G3DSA:3.40.1190.GENE3D), IPR011611 (PFAM), PTHR10584 (PANTHER), PTHR10584:SF166 (PANTHER),  IPR029056 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_07737	transcriptional activator srcap-like protein					no IPS match	no IPS match	no IPS match
FVEG_07739	hypothetical protein FVEG_07739					Coil (COILS)	no GO terms	no GO terms
FVEG_07758	wsc domain protein	GO:0008061	chitin binding	F		"IPR002889 (PFAM), IPR001002 (G3DSA:3.30.60.GENE3D), PTHR19297 (PANTHER), PTHR19297:SF82 (PANTHER), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), IPR001002 (PRODOM), IPR001002 (PROSITE_PROFILES), IPR002889 (PROSITE_PROFILES), SignalP-noTM (SIGNALP_GRAM_NEGATIVE), SignalP-noTM (SIGNALP_EUK), SignalP-TM (SIGNALP_GRAM_POSITIVE),  IPR001002 (SUPERFAMILY)"	F:GO:0008061	F:chitin binding
FVEG_07759	glycosyl hydrolase family protein	"GO:0005975,  GO:0004553"	"carbohydrate metabolic process,  hydrolase activity, hydrolyzing O-glycosyl compounds"	"P,  F"		"IPR013320 (G3DSA:2.60.120.GENE3D), IPR000757 (PFAM), PTHR10963:SF4 (PANTHER), PTHR10963 (PANTHER), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), IPR008985 (SUPERFAMILY),  TMhelix (TMHMM)"	"F:GO:0004553,  P:GO:0005975"	"F:hydrolase activity, hydrolyzing O-glycosyl compounds, P:carbohydrate metabolic process"
FVEG_07760	hypothetical protein FVEG_07760					"PF13632 (PFAM), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), IPR029044 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_07768	general alpha-glucoside permease	"GO:0055085, GO:0016021,  GO:0022857"	"transmembrane transport, integral component of membrane,  transmembrane transporter activity"	"P, C,  F"		"IPR005828 (PFAM), G3DSA:1.20.1250.20 (GENE3D), PTHR24063 (PANTHER), PTHR24063:SF347 (PANTHER), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), IPR020846 (PROSITE_PROFILES), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"F:GO:0022857, C:GO:0016021,  P:GO:0055085"	"F:transmembrane transporter activity, C:integral component of membrane, P:transmembrane transport"
FVEG_07772	hypothetical protein FVEG_07772					IPR015880 (SMART)	no GO terms	no GO terms
FVEG_07773	hypothetical protein FVEG_07773					"Coil (COILS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS),  CYTOPLASMIC_DOMAIN (PHOBIUS)"	no GO terms	no GO terms
FVEG_07827	hypothetical protein FVEG_07827					"NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_07861	hypothetical protein FVEG_07861					no IPS match	no IPS match	no IPS match
FVEG_07862	domain-containing protein					"SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS),  SignalP-TM (SIGNALP_GRAM_POSITIVE)"	no GO terms	no GO terms
FVEG_07877	hypothetical protein FVEG_07877					"Coil (COILS), Coil (COILS),  Coil (COILS)"	no GO terms	no GO terms
FVEG_07951	pot family proton-dependent oligopeptide transporter	"GO:0016021, GO:0006857,  GO:0005215"	"integral component of membrane, oligopeptide transport,  transporter activity"	"C, P,  F"		"IPR000109 (PFAM), G3DSA:1.20.1250.20 (GENE3D), PTHR11654:SF64 (PANTHER), IPR000109 (PANTHER), IPR018456 (PROSITE_PATTERNS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"F:GO:0005215, C:GO:0016020, P:GO:0006810,  P:GO:0006857"	"F:transporter activity, C:membrane, P:transport, P:oligopeptide transport"
FVEG_08087	nuclear transcription y subunit beta	"GO:0043565, GO:0005634, GO:0046982,  GO:0006355"	"sequence-specific DNA binding, nucleus, protein heterodimerization activity,  regulation of transcription, DNA-templated"	"F, C, F,  P"		"PR00615 (PRINTS), IPR003958 (PFAM), IPR009072 (G3DSA:1.10.20.GENE3D), PTHR11064 (PANTHER), IPR003956 (PROSITE_PATTERNS),  IPR009072 (SUPERFAMILY)"	"C:GO:0005622, F:GO:0043565, F:GO:0046982, P:GO:0006355,  C:GO:0005634"	"C:intracellular, F:sequence-specific DNA binding, F:protein heterodimerization activity, P:regulation of transcription, DNA-templated, C:nucleus"
FVEG_08305	2og-fe oxygenase family oxidoreductase	"GO:0016705, GO:0016746, GO:0055114, GO:0031418,  GO:0005506"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, transferase activity, transferring acyl groups, oxidation-reduction process, L-ascorbic acid binding,  iron ion binding"	"F, F, P, F,  F"		"IPR006620 (SMART), PTHR10869 (PANTHER), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS),  SignalP-noTM (SIGNALP_EUK)"	"P:GO:0055114, F:GO:0016705, F:GO:0031418,  F:GO:0005506"	"P:oxidation-reduction process, F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, F:L-ascorbic acid binding, F:iron ion binding"
FVEG_08311	antibiotic biosynthesis monooxygenase					"IPR007138 (PFAM), G3DSA:3.30.70.900 (GENE3D),  IPR011008 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_08312	cupin					"IPR008579 (PFAM), IPR014710 (G3DSA:2.60.120.GENE3D),  IPR011051 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_08351	hexose transporter protein	"GO:0022891, GO:0016021,  GO:0055085"	"substrate-specific transmembrane transporter activity, integral component of membrane,  transmembrane transport"	"F, C,  P"		"G3DSA:1.20.1250.20 (GENE3D), IPR005828 (PFAM), PTHR24063 (PANTHER), PTHR24063:SF324 (PANTHER), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), IPR020846 (PROSITE_PROFILES), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"F:GO:0022857, C:GO:0016021,  P:GO:0055085"	"F:transmembrane transporter activity, C:integral component of membrane, P:transmembrane transport"
FVEG_08352	hypothetical protein FVEG_08352					"CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_08363	mfs sp general alpha glucoside:h+ symporter	"GO:0022891, GO:0016021,  GO:0055085"	"substrate-specific transmembrane transporter activity, integral component of membrane,  transmembrane transport"	"F, C,  P"		"IPR005828 (PFAM), G3DSA:1.20.1250.20 (GENE3D), IPR003663 (TIGRFAM), PTHR24063 (PANTHER), PTHR24063:SF355 (PANTHER), IPR005829 (PROSITE_PATTERNS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), IPR020846 (PROSITE_PROFILES), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"F:GO:0022857, C:GO:0016021, P:GO:0055085, F:GO:0022891, C:GO:0016020, F:GO:0005215,  P:GO:0006810"	"F:transmembrane transporter activity, C:integral component of membrane, P:transmembrane transport, F:substrate-specific transmembrane transporter activity, C:membrane, F:transporter activity, P:transport"
FVEG_08372	hypothetical protein FVEG_08372					no IPS match	no IPS match	no IPS match
FVEG_08374	zinc finger protein	"GO:0003824,  GO:0009116"	"catalytic activity,  nucleoside metabolic process"	"F,  P"		"Coil (COILS), IPR000845 (PFAM), IPR000845 (G3DSA:3.40.50.GENE3D), PTHR21234:SF16 (PANTHER), IPR018017 (PANTHER),  IPR000845 (SUPERFAMILY)"	"F:GO:0003824,  P:GO:0009116"	"F:catalytic activity, P:nucleoside metabolic process"
FVEG_08376	dual specificity phosphatase	"GO:0006470,  GO:0008138"	"protein dephosphorylation,  protein tyrosine/serine/threonine phosphatase activity"	"P,  F"	EC:3.1.3	"IPR000340 (PFAM), IPR029021 (G3DSA:3.90.190.GENE3D), IPR024950 (PANTHER), IPR020422 (PROSITE_PROFILES), IPR000387 (PROSITE_PROFILES),  IPR029021 (SUPERFAMILY)"	"P:GO:0006470, F:GO:0008138, F:GO:0016791,  P:GO:0016311"	"P:protein dephosphorylation, F:protein tyrosine/serine/threonine phosphatase activity, F:phosphatase activity, P:dephosphorylation"
FVEG_08379	1h-3-hydroxy-4-oxoquinaldine -dioxygenase					"IPR029058 (G3DSA:3.40.50.GENE3D), PF12697 (PFAM), PTHR10992 (PANTHER),  IPR029058 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_08393	hypothetical protein FVEG_08393					"NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_08394	high-affinity nicotinic acid transporter	"GO:0055085,  GO:0016021"	"transmembrane transport,  integral component of membrane"	"P,  C"		"IPR011701 (PFAM), G3DSA:1.20.1250.20 (GENE3D), PTHR11662 (PANTHER), PTHR11662:SF196 (PANTHER), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), IPR020846 (PROSITE_PROFILES), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"C:GO:0016021,  P:GO:0055085"	"C:integral component of membrane, P:transmembrane transport"
FVEG_08396	phosphatidylserine decarboxylase	"GO:0004609, GO:0008654, GO:0006544, GO:0006563, GO:0006566,  GO:0046486"	"phosphatidylserine decarboxylase activity, phospholipid biosynthetic process, glycine metabolic process, L-serine metabolic process, threonine metabolic process,  glycerolipid metabolic process"	"F, P, P, P, P,  P"	EC:4.1.1.65	"IPR022237 (PFAM), IPR003817 (PFAM), PTHR10067:SF1 (PANTHER), IPR005221 (PANTHER),  IPR011055 (SUPERFAMILY)"	"P:GO:0008654,  F:GO:0004609"	"P:phospholipid biosynthetic process, F:phosphatidylserine decarboxylase activity"
FVEG_08402	aspartic protease pep1	"GO:0004190,  GO:0006508"	"aspartic-type endopeptidase activity,  proteolysis"	"F,  P"	EC:3.4.23	"IPR001461 (PRINTS), IPR001461 (PFAM), IPR021109 (G3DSA:2.40.70.GENE3D), IPR001461 (PANTHER), PTHR13683:SF255 (PANTHER), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS),  IPR021109 (SUPERFAMILY)"	"P:GO:0006508,  F:GO:0004190"	"P:proteolysis, F:aspartic-type endopeptidase activity"
FVEG_08403	aspartic proteinase yapsin-6	"GO:0004190,  GO:0006508"	"aspartic-type endopeptidase activity,  proteolysis"	"F,  P"	EC:3.4.23	"IPR001461 (PRINTS), IPR001461 (PFAM), IPR021109 (G3DSA:2.40.70.GENE3D), IPR001461 (PANTHER), PTHR13683:SF275 (PANTHER), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SignalP-noTM (SIGNALP_EUK), SignalP-noTM (SIGNALP_GRAM_NEGATIVE), SignalP-TM (SIGNALP_GRAM_POSITIVE), IPR021109 (SUPERFAMILY),  TMhelix (TMHMM)"	"F:GO:0004190,  P:GO:0006508"	"F:aspartic-type endopeptidase activity, P:proteolysis"
FVEG_08408	hypothetical protein FVEG_08408					"Coil (COILS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_08422	related to isoamyl alcohol oxidase	"GO:0050660, GO:0008762, GO:0055114,  GO:0006040"	"flavin adenine dinucleotide binding, UDP-N-acetylmuramate dehydrogenase activity, oxidation-reduction process,  amino sugar metabolic process"	"F, F, P,  P"	EC:1.1.1.158	"IPR016169 (G3DSA:3.30.465.GENE3D), IPR012951 (PFAM), IPR006094 (PFAM), PTHR13878 (PANTHER), PTHR13878:SF32 (PANTHER), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), IPR016166 (PROSITE_PROFILES), SignalP-noTM (SIGNALP_GRAM_NEGATIVE), SignalP-TM (SIGNALP_GRAM_POSITIVE), SignalP-noTM (SIGNALP_EUK),  IPR016166 (SUPERFAMILY)"	"F:GO:0050660, F:GO:0016491, P:GO:0055114, F:GO:0008762, F:GO:0003824,  F:GO:0016614"	"F:flavin adenine dinucleotide binding, F:oxidoreductase activity, P:oxidation-reduction process, F:UDP-N-acetylmuramate dehydrogenase activity, F:catalytic activity, F:oxidoreductase activity, acting on CH-OH group of donors"
FVEG_08438	isotrichodermin c-15 hydroxylase	"GO:0020037, GO:0016705, GO:0004497, GO:0005506, GO:0009055, GO:0055114,  GO:0006118"	"heme binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, monooxygenase activity, iron ion binding, electron carrier activity, oxidation-reduction process,  obsolete electron transport"	"F, F, F, F, F, P,  P"		"IPR001128 (PRINTS), IPR002401 (PRINTS), IPR001128 (G3DSA:1.10.630.GENE3D), IPR001128 (PFAM), PTHR24305:SF45 (PANTHER), PTHR24305 (PANTHER), IPR017972 (PROSITE_PATTERNS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), IPR001128 (SUPERFAMILY),  TMhelix (TMHMM)"	"F:GO:0020037, P:GO:0055114, F:GO:0005506,  F:GO:0016705"	"F:heme binding, P:oxidation-reduction process, F:iron ion binding, F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
FVEG_08439	integral membrane protein					"TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_08440	hypothetical protein FVEG_08440					"CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	no GO terms	no GO terms
